account_id,entity_id,account_number,program_id,available_balance,bank_code
acfbe204-7541-492c-a352-040aa984bedc,f2f5e332-c2d1-4555-9a6b-65c7cd195077,Jahz1tsLKLDCpdFcjvIhip0xWGZnk_XbeyV_sRrOSd6TjqVhytvms2x0,21,-25907487.00,HDFC
6f306737-dfa8-4bf7-8003-be64034b8dea,2d52dda2-d98a-4381-af80-45bdb173860c,X79uJi-uecm9S5JgmfQdth-kVp0r9KMLNLZnsASoTZrtv-Upp-10pKmf,21,-94766029.00,HDFC
bfbfe347-11d6-48d7-acff-4f091f59d34b,e767c3c1-3a0d-43b5-b2ff-06f49bdf3de2,nWho_Zm3u5wrGhl3UQV0A0ButHU98_YNinncbpgFlmRmKvtepJcfZgHm,4,40842693.08,UBIN
212239b5-63d9-4da6-aa8c-46485e0f8a42,ac1a0654-461b-4216-95d1-bbcb9ab6da4e,IuZnm4nk7Ir0zSnmZbNIyEVWha4qPyZvSGcw77KBc4oAhy33asQTQ5Kb,46,109283.80,SBIN
34448e78-c3fe-4b5d-be8c-a45a6349b8d4,e984c75d-aad6-4655-823a-4e9e06a869bc,rtKW0U24owvbiopVCDqFZl-U-3gmge-Lx4IF0NcvxK1qn9WLaQJpYsHq,21,231680596.77,UTIB
5cecd2c2-f075-4bbd-a08b-b156ca48dc7e,e0000005-0000-0000-0000-000000000005,ziIzsDC08OVATdF0ad_ZxLdMtiKfFdlqdmy0KIqtk8OHkvqx8sUX1ygK,4,-131629423.33,HDFC
e767c3c1-3a0d-43b5-b2ff-06f49bdf3de2,00000006-0000-0000-0000-000000000006,kBClFHIgbIdSJnpkJHtzy_5sWo8Ta4V9jiD0SK0qx5GCfLz5vOf5vwss,21,8695000.75,KKBK
2d52dda2-d98a-4381-af80-45bdb173860c,00000007-0000-0000-0000-000000000007,P0h56HQPOJobf4vjP-5__cV71Z_0rNzDkCnI6dl3YsTtsMlXZuZAr2C2,46,3887946.81,CNRB
ac1a0654-461b-4216-95d1-bbcb9ab6da4e,00000008-0000-0000-0000-000000000008,CAPSl0HXFf1SPJ2T5EJDgun7S825S8NQMCcEzPYm6S6EdPBt8Mbkc2_e,21,3278516.63,SBIN
e984c75d-aad6-4655-823a-4e9e06a869bc,00000009-0000-0000-0000-000000000009,VBtge8JagI0G4yTGzTlinWLwim9X9ujwt64F5yjATK4YX7xCH6NQaYcR,46,-117420771.35,ICIC
